Month,Brand_name,Shoe_Size,Forecast_value,Low,High
1,Off-White,4.0,36.0,10.0,62.0
2,Off-White,4.0,36.0,6.0,66.0
3,Off-White,4.0,36.0,3.0,69.0
4,Off-White,4.0,36.0,1.0,71.0
5,Off-White,4.0,36.0,-2.0,74.0
6,Off-White,4.0,36.0,-4.0,76.0
1,Off-White,4.5,21.0,-3.0,45.0
2,Off-White,4.5,21.0,-6.0,48.0
3,Off-White,4.5,21.0,-9.0,51.0
4,Off-White,4.5,21.0,-11.0,53.0
5,Off-White,4.5,21.0,-13.0,55.0
6,Off-White,4.5,21.0,-16.0,58.0
1,Off-White,5.0,39.0,5.0,73.0
2,Off-White,5.0,39.0,1.0,77.0
3,Off-White,5.0,39.0,-3.0,81.0
4,Off-White,5.0,39.0,-7.0,85.0
5,Off-White,5.0,39.0,-10.0,88.0
6,Off-White,5.0,39.0,-13.0,91.0
1,Off-White,5.5,26.0,7.0,45.0
2,Off-White,5.5,26.0,4.0,48.0
3,Off-White,5.5,26.0,2.0,50.0
4,Off-White,5.5,26.0,0.0,52.0
5,Off-White,5.5,26.0,-2.0,54.0
6,Off-White,5.5,26.0,-3.0,55.0
1,Off-White,6.0,76.0,38.0,114.0
2,Off-White,6.0,76.0,33.0,119.0
3,Off-White,6.0,76.0,28.0,124.0
4,Off-White,6.0,76.0,24.0,128.0
5,Off-White,6.0,76.0,21.0,131.0
6,Off-White,6.0,76.0,17.0,135.0
1,Off-White,6.5,52.0,20.0,84.0
2,Off-White,6.5,52.0,16.0,88.0
3,Off-White,6.5,52.0,12.0,92.0
4,Off-White,6.5,52.0,9.0,95.0
5,Off-White,6.5,52.0,6.0,98.0
6,Off-White,6.5,52.0,3.0,101.0
1,Off-White,7.0,84.0,27.0,141.0
2,Off-White,7.0,84.0,20.0,148.0
3,Off-White,7.0,84.0,13.0,155.0
4,Off-White,7.0,84.0,7.0,161.0
5,Off-White,7.0,84.0,2.0,166.0
6,Off-White,7.0,84.0,-4.0,172.0
1,Off-White,7.5,59.0,19.0,99.0
2,Off-White,7.5,59.0,14.0,104.0
3,Off-White,7.5,59.0,10.0,108.0
4,Off-White,7.5,59.0,5.0,113.0
5,Off-White,7.5,59.0,2.0,116.0
6,Off-White,7.5,59.0,-2.0,120.0
1,Off-White,8.0,126.0,45.0,207.0
2,Off-White,8.0,126.0,35.0,217.0
3,Off-White,8.0,126.0,26.0,226.0
4,Off-White,8.0,126.0,17.0,235.0
5,Off-White,8.0,126.0,9.0,243.0
6,Off-White,8.0,126.0,2.0,250.0
1,Off-White,8.5,135.0,68.0,202.0
2,Off-White,8.5,135.0,59.0,211.0
3,Off-White,8.5,135.0,51.0,219.0
4,Off-White,8.5,135.0,44.0,226.0
5,Off-White,8.5,135.0,38.0,232.0
6,Off-White,8.5,135.0,32.0,238.0
1,Off-White,9.0,219.0,108.0,330.0
2,Off-White,9.0,219.0,94.0,344.0
3,Off-White,9.0,219.0,81.0,357.0
4,Off-White,9.0,219.0,70.0,368.0
5,Off-White,9.0,219.0,59.0,379.0
6,Off-White,9.0,219.0,49.0,389.0
1,Off-White,9.5,221.0,124.0,318.0
2,Off-White,9.5,221.0,111.0,331.0
3,Off-White,9.5,221.0,100.0,342.0
4,Off-White,9.5,221.0,90.0,352.0
5,Off-White,9.5,221.0,81.0,361.0
6,Off-White,9.5,221.0,72.0,370.0
1,Off-White,10.0,297.0,167.0,427.0
2,Off-White,10.0,297.0,150.0,444.0
3,Off-White,10.0,297.0,135.0,459.0
4,Off-White,10.0,297.0,122.0,472.0
5,Off-White,10.0,297.0,109.0,485.0
6,Off-White,10.0,297.0,97.0,497.0
1,Off-White,10.5,211.0,99.0,323.0
2,Off-White,10.5,211.0,84.0,338.0
3,Off-White,10.5,211.0,71.0,351.0
4,Off-White,10.5,211.0,60.0,362.0
5,Off-White,10.5,211.0,49.0,373.0
6,Off-White,10.5,211.0,39.0,383.0
1,Off-White,11.0,239.0,124.0,354.0
2,Off-White,11.0,239.0,109.0,369.0
3,Off-White,11.0,239.0,96.0,382.0
4,Off-White,11.0,239.0,84.0,394.0
5,Off-White,11.0,239.0,73.0,405.0
6,Off-White,11.0,239.0,62.0,416.0
1,Off-White,11.5,100.0,49.0,151.0
2,Off-White,11.5,100.0,42.0,158.0
3,Off-White,11.5,100.0,36.0,164.0
4,Off-White,11.5,100.0,31.0,169.0
5,Off-White,11.5,100.0,26.0,174.0
6,Off-White,11.5,100.0,22.0,178.0
1,Off-White,12.0,174.0,87.0,261.0
2,Off-White,12.0,174.0,76.0,272.0
3,Off-White,12.0,174.0,66.0,282.0
4,Off-White,12.0,174.0,57.0,291.0
5,Off-White,12.0,174.0,49.0,299.0
6,Off-White,12.0,174.0,41.0,307.0
1,Off-White,12.5,6.0,1.0,11.0
2,Off-White,12.5,6.0,0.0,12.0
3,Off-White,12.5,6.0,-0.0,12.0
