Month,Brand_name,Buyer_Region,Forecast_value,Low,High
1,Yeezy,Alabama,36.0,18.0,54.0
2,Yeezy,Alabama,36.0,16.0,56.0
3,Yeezy,Alabama,36.0,14.0,58.0
4,Yeezy,Alabama,36.0,12.0,60.0
5,Yeezy,Alabama,36.0,11.0,61.0
6,Yeezy,Alabama,36.0,9.0,63.0
1,Yeezy,Alaska,3.0,-1.0,7.0
2,Yeezy,Alaska,3.0,-1.0,7.0
3,Yeezy,Alaska,3.0,-2.0,8.0
4,Yeezy,Alaska,3.0,-2.0,8.0
5,Yeezy,Alaska,3.0,-3.0,9.0
6,Yeezy,Alaska,3.0,-3.0,9.0
1,Yeezy,Arizona,74.0,23.0,125.0
2,Yeezy,Arizona,74.0,17.0,131.0
3,Yeezy,Arizona,74.0,12.0,136.0
4,Yeezy,Arizona,74.0,7.0,141.0
5,Yeezy,Arizona,74.0,2.0,146.0
6,Yeezy,Arizona,74.0,-2.0,150.0
1,Yeezy,Arkansas,12.0,6.0,18.0
2,Yeezy,Arkansas,12.0,5.0,19.0
3,Yeezy,Arkansas,12.0,4.0,20.0
4,Yeezy,Arkansas,12.0,4.0,20.0
5,Yeezy,Arkansas,12.0,3.0,21.0
6,Yeezy,Arkansas,12.0,3.0,21.0
1,Yeezy,California,1044.0,446.0,1642.0
2,Yeezy,California,1044.0,378.0,1710.0
3,Yeezy,California,1044.0,316.0,1772.0
4,Yeezy,California,1044.0,259.0,1829.0
5,Yeezy,California,1044.0,206.0,1882.0
6,Yeezy,California,1044.0,156.0,1932.0
1,Yeezy,Colorado,48.0,10.0,86.0
2,Yeezy,Colorado,48.0,6.0,90.0
3,Yeezy,Colorado,48.0,2.0,94.0
4,Yeezy,Colorado,48.0,-2.0,98.0
5,Yeezy,Colorado,48.0,-5.0,101.0
6,Yeezy,Colorado,48.0,-8.0,104.0
1,Yeezy,Connecticut,62.0,11.0,113.0
2,Yeezy,Connecticut,62.0,5.0,119.0
3,Yeezy,Connecticut,62.0,-0.0,124.0
4,Yeezy,Connecticut,62.0,-5.0,129.0
5,Yeezy,Connecticut,62.0,-10.0,134.0
6,Yeezy,Connecticut,62.0,-14.0,138.0
1,Yeezy,Delaware,122.0,53.0,191.0
2,Yeezy,Delaware,122.0,46.0,198.0
3,Yeezy,Delaware,122.0,39.0,205.0
4,Yeezy,Delaware,122.0,32.0,212.0
5,Yeezy,Delaware,122.0,26.0,218.0
6,Yeezy,Delaware,122.0,20.0,224.0
1,Yeezy,District of Columbia,15.0,3.0,27.0
2,Yeezy,District of Columbia,15.0,2.0,28.0
3,Yeezy,District of Columbia,15.0,1.0,29.0
4,Yeezy,District of Columbia,15.0,-1.0,31.0
5,Yeezy,District of Columbia,15.0,-2.0,32.0
6,Yeezy,District of Columbia,15.0,-3.0,33.0
1,Yeezy,Florida,374.0,127.0,621.0
2,Yeezy,Florida,374.0,98.0,650.0
3,Yeezy,Florida,374.0,73.0,675.0
