Month,Brand_name,Shoe_Size,Forecast_value,Low,High
1,Yeezy,4.0,106.0,16.0,196.0
2,Yeezy,4.0,106.0,-17.0,229.0
3,Yeezy,4.0,106.0,-42.0,254.0
4,Yeezy,4.0,106.0,-64.0,276.0
5,Yeezy,4.0,106.0,-83.0,295.0
6,Yeezy,4.0,106.0,-101.0,313.0
1,Yeezy,4.5,101.0,41.0,161.0
2,Yeezy,4.5,101.0,19.0,183.0
3,Yeezy,4.5,101.0,2.0,200.0
4,Yeezy,4.5,101.0,-12.0,214.0
5,Yeezy,4.5,101.0,-25.0,227.0
6,Yeezy,4.5,101.0,-37.0,239.0
1,Yeezy,5.0,160.0,3.0,317.0
2,Yeezy,5.0,160.0,-53.0,373.0
3,Yeezy,5.0,160.0,-97.0,417.0
4,Yeezy,5.0,160.0,-135.0,455.0
5,Yeezy,5.0,160.0,-168.0,488.0
6,Yeezy,5.0,160.0,-198.0,518.0
1,Yeezy,5.5,168.0,31.0,305.0
2,Yeezy,5.5,168.0,-19.0,355.0
3,Yeezy,5.5,168.0,-57.0,393.0
4,Yeezy,5.5,168.0,-91.0,427.0
5,Yeezy,5.5,168.0,-120.0,456.0
6,Yeezy,5.5,168.0,-146.0,482.0
1,Yeezy,6.0,162.0,2.0,322.0
2,Yeezy,6.0,162.0,-56.0,380.0
3,Yeezy,6.0,162.0,-101.0,425.0
4,Yeezy,6.0,162.0,-140.0,464.0
5,Yeezy,6.0,162.0,-174.0,498.0
6,Yeezy,6.0,162.0,-205.0,529.0
1,Yeezy,6.5,110.0,25.0,195.0
2,Yeezy,6.5,110.0,-6.0,226.0
3,Yeezy,6.5,110.0,-30.0,250.0
4,Yeezy,6.5,110.0,-50.0,270.0
5,Yeezy,6.5,110.0,-68.0,288.0
6,Yeezy,6.5,110.0,-85.0,305.0
1,Yeezy,7.0,118.0,-30.0,266.0
2,Yeezy,7.0,118.0,-83.0,319.0
3,Yeezy,7.0,118.0,-125.0,361.0
4,Yeezy,7.0,118.0,-161.0,397.0
5,Yeezy,7.0,118.0,-193.0,429.0
6,Yeezy,7.0,118.0,-221.0,457.0
1,Yeezy,7.5,116.0,18.0,214.0
2,Yeezy,7.5,116.0,-17.0,249.0
3,Yeezy,7.5,116.0,-44.0,276.0
4,Yeezy,7.5,116.0,-68.0,300.0
5,Yeezy,7.5,116.0,-88.0,320.0
6,Yeezy,7.5,116.0,-107.0,339.0
1,Yeezy,8.0,215.0,62.0,368.0
2,Yeezy,8.0,215.0,7.0,423.0
3,Yeezy,8.0,215.0,-36.0,466.0
4,Yeezy,8.0,215.0,-72.0,502.0
5,Yeezy,8.0,215.0,-105.0,535.0
6,Yeezy,8.0,215.0,-134.0,564.0
1,Yeezy,8.5,240.0,80.0,400.0
2,Yeezy,8.5,240.0,23.0,457.0
3,Yeezy,8.5,240.0,-22.0,502.0
4,Yeezy,8.5,240.0,-61.0,541.0
5,Yeezy,8.5,240.0,-95.0,575.0
6,Yeezy,8.5,240.0,-126.0,606.0
1,Yeezy,9.0,450.0,182.0,718.0
2,Yeezy,9.0,450.0,85.0,815.0
3,Yeezy,9.0,450.0,10.0,890.0
4,Yeezy,9.0,450.0,-55.0,955.0
5,Yeezy,9.0,450.0,-112.0,1012.0
6,Yeezy,9.0,450.0,-164.0,1064.0
1,Yeezy,9.5,337.0,67.0,607.0
2,Yeezy,9.5,337.0,-30.0,704.0
3,Yeezy,9.5,337.0,-107.0,781.0
4,Yeezy,9.5,337.0,-172.0,846.0
5,Yeezy,9.5,337.0,-229.0,903.0
6,Yeezy,9.5,337.0,-282.0,956.0
1,Yeezy,10.0,393.0,95.0,691.0
2,Yeezy,10.0,393.0,-12.0,798.0
3,Yeezy,10.0,393.0,-96.0,882.0
4,Yeezy,10.0,393.0,-168.0,954.0
